,SEAT_COUNT,BOARD_TYPE,SCREEN_SIZE,INPUTS,TECH_TYPE,CLASSROOM_TYPE,COMPUTER_LAB,CPT,LAST_REFRESH,CAMERA_TYPE,PODIUM_TYPE,COMPUTER,CAMERA_MIC,DISPLAY_TYPE,DISLAY_COUNT,EQUIP_LOC,ADDITIONAL_ROOM_SPECS,LCR_COST,ROOM_ID,ROOM_NAME,BUILDING_NAME
147,None,Whiteboard - Small,None,None,None,Conference Room,None,I, ,None,None,None,False,None,0,None,None,5000,4974,CF297,CFAC
148,None,None,None,None,Single Display,Large Venue,None,None,2009,None,None,None,None,None,0,None,None,941831.00,4975,Main Auditorium,CFAC
149,None,None,None,None,Single Display,Large Venue,None,None,2009,None,None,None,False,None,0,None,None,313944,4976,Recital Hall,CFAC
150,None,None,None,HDMI,Single Display,Small Venue,None,IV,2022,None,None,None,False,Flat Screen,1,None,Windows,350000,4988,BU102,Business Building
151,None,None,None,"HDMI, Wireless Projection",Conferencing/Capture,Conference Room,None,I,2022,Webcam,None,None,True,Flat Screen,1,None,Windows,5000,4989,BU109,Business Building
152,None,None,None,"HDMI, Wireless Projection",Conferencing/Capture,Conference Room,None,I,2022,Webcam,None,None,True,Flat Screen,1,None,Windows,5000,4990,BU111,Business Building
153,None,None,None,"HDMI, Wireless Projection",Conferencing/Capture,Conference Room,None,I,2022,Webcam,None,None,True,Flat Screen,1,None,Windows,5000,4991,BU112,Business Building
154,None,None,None,"HDMI, Wireless Projection",Conferencing/Capture,Conference Room,None,I,2022,Webcam,None,None,True,Flat Screen,1,None,Windows,5000,4992,BU201,Business Building
155,None,None,None,"HDMI, Wireless Projection",Conferencing/Capture,Conference Room,None,I,2022,Webcam,None,None,True,Flat Screen,1,None,Windows,5000,4993,BU202,Business Building
156,None,None,None,"HDMI, Wireless Projection",Conferencing/Capture,Conference Room,None,I,2022,Webcam,None,None,True,Flat Screen,1,None,Windows,5000,4994,BU209,Business Building
157,None,None,None,"HDMI, Wireless Projection",Conferencing/Capture,Conference Room,None,I,2022,None,None,None,True,Flat Screen,1,None,Windows,5000,4995,BU214,Business Building
158,None,None,None,None,None,Conference Room,None,I,None,None,None,None,None,None,0,None,Windows,5000.00,4996,CA214,Commons Annex
159,None,None,None,None,None,Conference Room,None,I,None,None,None,None,None,None,0,None,Windows,5000.00,4997,CA216,Commons Annex
160,152,None,Large Format,"HDMI, VGA, Audio - Line, Audio - Mic",Single Display,Classroom/Lab,None,II,2015,None,Smart,PC,None,Data Projector,1,None,None,20000,4998,DC015,DeVos
161,34,Whiteboard - Small,6-foot,HDMI,Single Display,Classroom/Lab,None,II,2016,Document,Basic,PC,None,Data Projector,1,None,Windows,20000,4999,DC020,DeVos
162,None,Tack Board,,None,Single Display,Classroom/Lab,None,None,2017,None,None,None,None,None,0,None,None,20000,5000,DC030,DeVos
163,None,Whiteboard - Large,None,None,None,Classroom/Lab,None,None, ,None,None,PC,None,None,0,None,Windows,50000,5001,DC065,DeVos
164,None,None,None,None,None,Small Venue,None,None,2022,None,None,None,None,None,0,None,None,25000,5002,DC100,DeVos
165,27,Whiteboard - Small,None,HDMI,Single Display,Custom Classroom/Lab,Mac,II,2016,Document,None,Mac,None,Flat Screen,1,None,Windows,20000,5003,DC110,DeVos
166,None,None,None,None,None,Conference Room,None,I, ,None,None,None,None,None,0,None,None,5000,5004,DC240,DeVos
